Test, Start_Pos, Nodes_Traversed, Time Elapsed
1, [1,1], 381, 18.948549100000026
2, [2,1], 383, 19.14027690000006
3, [3,1], 384, 18.460739600000096
4, [4,1], 385, 18.472648199999718
5, [5,1], 384, 18.392935900000268
6, [6,1], 383, 18.605319499999737
7, [7,1], 382, 18.68081170000042
8, [8,1], 383, 18.23997180000032
9, [9,1], 384, 18.322369600000172
10, [10,1], 385, 18.358294400000517
11, [11,1], 386, 18.42021699999907
12, [12,1], 387, 18.237426399999634
13, [15,1], 384, 18.82534549999997
14, [16,1], 385, 18.315914299998866
15, [17,1], 386, 18.946069000000932
16, [18,1], 387, 18.545745899998508
17, [19,1], 381, 18.20623010000031
18, [20,1], 380, 18.37176640000007
19, [21,1], 379, 18.91558219999996
20, [22,1], 378, 17.77013559999881
21, [23,1], 379, 18.13054990000046
22, [24,1], 380, 18.764451699999768
23, [25,1], 381, 18.02918699999765
24, [26,1], 382, 18.14854429999832
25, [1,2], 381, 18.01854289999909
26, [6,2], 384, 18.361584199999243
27, [12,2], 388, 18.520603899999628
28, [15,2], 383, 18.199516300000823
29, [21,2], 380, 18.65139170000282
30, [26,2], 386, 18.299474499998382
31, [1,3], 380, 18.228772799999547
32, [6,3], 385, 18.581799799997043
33, [12,3], 387, 18.45959640000069
34, [15,3], 382, 18.298920399997996
35, [21,3], 388, 18.425189900000305
36, [26,3], 385, 18.711273600002528
37, [1,4], 379, 18.014257699998552
38, [6,4], 384, 18.2209061999979
39, [12,4], 386, 18.549993600000903
40, [15,4], 381, 18.11439510000139
41, [21,4], 387, 18.447748900000306
42, [26,4], 384, 18.35621230000072
43, [1,5], 380, 18.200325900001076
44, [2,5], 381, 18.076533900000072
45, [3,5], 388, 18.36145950000082
46, [4,5], 387, 18.70134920000021
47, [5,5], 386, 18.273406799996337
48, [6,5], 385, 18.36949290000007
49, [7,5], 390, 18.64385099999697
50, [8,5], 391, 18.52911380000171
51, [9,5], 403, 19.159434100000567
52, [10,5], 402, 19.191687300002513
53, [11,5], 403, 19.522894100001736
54, [12,5], 387, 18.47287209999547
55, [13,5], 384, 18.42131149999932
56, [14,5], 383, 18.380407100002913
57, [15,5], 382, 18.098737999999003
58, [16,5], 386, 18.48593190000929
59, [17,5], 385, 18.447665800007826
60, [18,5], 384, 18.1601259999959
61, [19,5], 390, 18.457154100000935
62, [20,5], 389, 18.31180220000192
63, [21,5], 388, 18.706403700000237
64, [22,5], 389, 18.72378000000208
65, [23,5], 390, 18.521419500002594
66, [24,5], 391, 18.678793099999666
67, [25,5], 386, 18.447471399997767
68, [26,5], 385, 18.424535199992988
69, [1,6], 381, 18.16651590000197
70, [6,6], 388, 18.83006720000276
71, [9,6], 404, 19.127677699998458
72, [18,6], 385, 18.388676800003623
73, [21,6], 384, 18.50012630000174
74, [26,6], 386, 18.212081500005752
75, [1,7], 382, 18.094363300002897
76, [6,7], 389, 18.816876999990882
77, [9,7], 394, 18.827384699995946
78, [18,7], 386, 18.283523699997886
79, [21,7], 383, 18.74651359999575
80, [26,7], 387, 18.377243500000304
81, [1,8], 383, 18.47190579999392
82, [2,8], 393, 18.735811199997897
83, [3,8], 399, 19.166367899997795
84, [4,8], 398, 19.318631299991694
85, [5,8], 391, 18.647296300004427
86, [6,8], 390, 18.926563000004307
87, [9,8], 392, 18.536248300008538
88, [10,8], 389, 18.459271899996338
89, [11,8], 390, 18.59350150000364
90, [12,8], 391, 19.036302099999148
91, [15,8], 400, 19.941187899999477
92, [16,8], 401, 19.495710899997903
93, [17,8], 402, 19.558953799996516
94, [18,8], 387, 18.34847939999645
95, [21,8], 384, 18.28686699999662
96, [22,8], 381, 19.15798200000677
97, [23,8], 382, 19.135010900000225
98, [24,8], 383, 18.356237100002318
99, [25,8], 384, 18.356750299995838
100, [26,8], 388, 18.50480979999793
101, [6,9], 386, 18.511134599994648
102, [12,9], 388, 18.424632200000815
103, [15,9], 399, 19.526509300002544
104, [21,9], 385, 18.53615309999782
105, [6,10], 387, 18.71390510000856
106, [12,10], 387, 18.44463049999922
107, [15,10], 398, 18.95888140000102
108, [21,10], 386, 18.3039542000015
109, [6,11], 388, 18.667112800000268
110, [9,11], 391, 19.012817900000528
111, [10,11], 390, 18.62775029999557
112, [11,11], 389, 18.585921499990036
113, [12,11], 388, 18.89591150000797
114, [13,11], 401, 19.078662100006113
115, [14,11], 400, 19.29938270000548
116, [15,11], 399, 19.80026149999685
117, [16,11], 382, 18.386434299991834
118, [17,11], 383, 18.287136900012683
119, [18,11], 384, 18.32881959999486
120, [21,11], 388, 18.649099099991417
121, [6,12], 389, 18.602065000003222
122, [9,12], 390, 18.73162479999246
123, [18,12], 390, 19.042474000003494
124, [21,12], 387, 18.349234200002684
125, [6,13], 390, 19.128145100001802
126, [9,13], 389, 19.125450500010174
127, [18,13], 389, 18.567569900005765
128, [21,13], 386, 18.46263430000181
129, [6,14], 391, 18.875997000000098
130, [7,14], 388, 19.626525900006527
131, [8,14], 389, 18.575230300004478
132, [9,14], 390, 18.486426299994037
133, [18,14], 390, 18.512401700000282
134, [19,14], 381, 18.3198092000016
135, [20,14], 382, 18.196876200000133
136, [21,14], 387, 18.453645600011896
137, [6,15], 392, 18.617940299995553
138, [9,15], 391, 18.613977500007422
139, [18,15], 395, 18.76740909999944
140, [21,15], 388, 18.46145759999945
141, [6,16], 395, 18.805162000001474
142, [9,16], 388, 18.428746800009776
143, [18,16], 394, 19.017584000012448
144, [21,16], 381, 18.061430800000835
145, [6,17], 394, 18.811946200004968
146, [9,17], 389, 18.48884460000363
147, [10,17], 386, 18.790655900008005
