Test, Start_Pos, Nodes_Traversed, Time Elapsed
1, [1,1], 661, 31.4895028999872
2, [2,1], 662, 31.586610300023494
3, [3,1], 663, 31.73432159999811
4, [4,1], 664, 32.11333340001693
5, [5,1], 663, 31.606752299974687
6, [6,1], 662, 31.443784400006734
7, [7,1], 661, 31.850224500018157
8, [8,1], 662, 31.368909700003314
9, [9,1], 663, 31.608161599976484
10, [10,1], 664, 32.01088579997668
11, [11,1], 665, 32.0448772000027
12, [12,1], 666, 32.137376799954836
13, [15,1], 663, 32.8323134000093
14, [16,1], 664, 32.71159110002736
15, [17,1], 665, 32.37820620000639
16, [18,1], 666, 32.548115699993104
17, [19,1], 541, 26.479400799977157
18, [20,1], 540, 26.708453299983375
19, [21,1], 539, 26.9763539999949
20, [22,1], 538, 27.118410299979587
21, [23,1], 539, 26.83944510002584
22, [24,1], 540, 27.13491219998832
23, [25,1], 541, 26.608681999980945
24, [26,1], 542, 26.736160100017514
25, [1,2], 660, 32.3878873000358
26, [6,2], 657, 32.936530000005405
27, [12,2], 667, 33.08994020001137
28, [15,2], 662, 32.97301510004036
29, [21,2], 779, 39.20637320002879
30, [26,2], 665, 32.93622869999399
31, [1,3], 659, 32.408740599999874
32, [6,3], 664, 32.96867089999705
33, [12,3], 666, 33.67183039998781
34, [15,3], 661, 32.26351230003456
35, [21,3], 667, 33.81016409998574
36, [26,3], 664, 31.864974599996458
37, [1,4], 658, 32.212264899996626
38, [6,4], 663, 31.59720610002023
39, [12,4], 665, 32.47413049996885
40, [15,4], 660, 31.984934700039048
41, [21,4], 666, 32.48142109997025
42, [26,4], 663, 32.635043499977655
43, [1,5], 659, 31.252029000032962
44, [2,5], 668, 32.023014199943646
45, [3,5], 667, 32.439856499980124
46, [4,5], 666, 33.045953600005305
47, [5,5], 665, 31.854189600012432
48, [6,5], 664, 31.603298300005918
49, [7,5], 559, 26.782239099995422
50, [8,5], 560, 27.818876199989063
51, [9,5], 585, 30.3874787000168
52, [10,5], 612, 29.81387619999623
53, [11,5], 613, 31.038296699990497
54, [12,5], 588, 29.840519800010043
55, [13,5], 663, 33.430081399999835
56, [14,5], 662, 32.2480236999927
57, [15,5], 661, 32.10248410000531
58, [16,5], 556, 27.136713000017153
59, [17,5], 555, 27.70628060000672
60, [18,5], 554, 27.134713600003124
61, [19,5], 669, 32.848361300027136
62, [20,5], 668, 32.678844799994295
63, [21,5], 667, 32.34476429998995
64, [22,5], 663, 32.274313499977325
65, [23,5], 664, 32.08242249998693
66, [24,5], 665, 32.03932850000365
67, [25,5], 651, 31.165501399981622
68, [26,5], 652, 31.12890920001064
69, [1,6], 660, 31.39684809998471
70, [6,6], 655, 30.908496400007607
71, [9,6], 584, 28.328796400009196
72, [18,6], 577, 27.59620150000501
73, [21,6], 653, 31.338609400008863
74, [26,6], 651, 30.952537200030747
75, [1,7], 661, 31.391835499966874
76, [6,7], 654, 30.81763979999323
77, [9,7], 559, 26.882514399984757
78, [18,7], 576, 27.482815700000174
79, [21,7], 652, 30.93172169999525
80, [26,7], 650, 30.856955500008553
81, [1,8], 662, 31.370487000028334
82, [2,8], 659, 31.069976400022824
83, [3,8], 666, 32.657536500007154
84, [4,8], 667, 33.5863629999767
85, [5,8], 668, 31.450793000022713
86, [6,8], 655, 30.689781099974425
87, [9,8], 580, 27.832574999991266
88, [10,8], 549, 26.399259900021207
89, [11,8], 530, 25.579998299987892
90, [12,8], 531, 25.693115499962005
91, [15,8], 572, 27.306959799992
92, [16,8], 573, 27.294170800061693
93, [17,8], 574, 27.884622399991713
94, [18,8], 575, 27.710224500078766
95, [21,8], 653, 31.323530400026357
96, [22,8], 660, 31.48410400002649
97, [23,8], 661, 31.656570800023474
98, [24,8], 662, 31.803854399919146
99, [25,8], 663, 31.841672200042012
100, [26,8], 649, 30.9461887000125
101, [6,9], 656, 31.05079179994391
102, [12,9], 528, 25.392700699945635
103, [15,9], 571, 27.20749069998419
104, [21,9], 654, 31.09902870003316
105, [6,10], 657, 31.04657600004066
106, [12,10], 527, 25.066582499977812
107, [15,10], 570, 27.955593700011377
108, [21,10], 655, 33.25457300004746
109, [6,11], 658, 32.78196769994611
110, [9,11], 487, 25.108999099993525
111, [10,11], 550, 27.82496830002492
112, [11,11], 551, 27.668664499968145
113, [12,11], 552, 28.071114499987743
114, [13,11], 543, 27.682580000020607
115, [14,11], 544, 27.47065050006495
116, [15,11], 545, 27.43806749999203
117, [16,11], 773, 39.666625300020314
118, [17,11], 772, 38.258530499906556
119, [18,11], 771, 39.23288989992216
120, [21,11], 656, 32.82549019988983
121, [6,12], 659, 32.16796290002276
122, [9,12], 486, 23.9387936000021
123, [18,12], 557, 27.554218299968852
124, [21,12], 657, 32.638611599977594
125, [6,13], 660, 32.483753299955424
126, [9,13], 485, 23.9447518999732
127, [18,13], 556, 28.195406900018497
128, [21,13], 658, 33.084362400004466
129, [6,14], 661, 32.71004480008378
130, [7,14], 544, 26.858296500106007
131, [8,14], 545, 27.14936269996906
132, [9,14], 486, 24.807612899930973
133, [18,14], 617, 31.029327700023714
134, [19,14], 715, 35.76769609994153
135, [20,14], 714, 35.82249830001274
136, [21,14], 713, 36.03752040010477
137, [6,15], 662, 33.06045120001545
138, [9,15], 545, 27.29052920000322
139, [18,15], 594, 29.820635099900755
140, [21,15], 712, 35.671824700024445
141, [6,16], 663, 32.90853670004617
142, [9,16], 544, 27.408501400052046
143, [18,16], 593, 31.044743800035576
144, [21,16], 711, 35.677684500002215
145, [6,17], 664, 34.088224400009494
146, [9,17], 651, 32.419473299993115
147, [10,17], 606, 30.443063999953665
148, [11,17], 607, 30.393602199967063
149, [12,17], 608, 30.75947220000853
150, [13,17], 609, 30.399071799998637
151, [14,17], 610, 30.466788700006873
152, [15,17], 611, 30.890986999975212
153, [16,17], 612, 30.807540600062566
154, [17,17], 613, 30.51602149993414
155, [18,17], 594, 29.792839599997023
156, [21,17], 710, 35.51837010001145
157, [6,18], 665, 32.94798340005582
158, [9,18], 584, 29.129398199936986
159, [18,18], 613, 30.677072799955567
160, [21,18], 709, 35.36168670000188
161, [6,19], 666, 33.59883270010141
162, [9,19], 583, 29.695423699959065
163, [18,19], 612, 30.25846990001628
164, [21,19], 708, 35.12920580006539
165, [1,20], 604, 29.41633489999549
166, [2,20], 603, 29.549732800041966
167, [3,20], 602, 30.101451499995164
168, [4,20], 601, 30.038784799995483
169, [5,20], 600, 29.498280999938288
170, [6,20], 599, 29.474192299914648
171, [7,20], 636, 31.57635250002386
172, [8,20], 637, 31.553588499989928
173, [9,20], 648, 32.352506900015214
174, [10,20], 717, 35.64631100009137
175, [11,20], 718, 35.208136800063585
176, [12,20], 719, 35.7353967999461
177, [15,20], 614, 30.59351079985572
178, [16,20], 713, 35.49867980000636
179, [17,20], 714, 35.31434049994823
180, [18,20], 715, 35.23217819998354
181, [19,20], 759, 39.11358089994792
182, [20,20], 760, 38.040300799966644
183, [21,20], 709, 35.64378520001992
184, [22,20], 549, 27.44269589997748
